ListingMonth,host_total_listings,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,PricePerNight
6.9,2,6,1,2,3,1,1,197,94,2.39,52
6.2,1,2,1,1,1,2,1,7,100,1.4,51
4.5,9,2,2,1,2,1,29,8,88,0.2,20
2.1,1,6,1,2,2,4,2,104,97,4.38,101
8.1,3,3,1,2,3,2,3,187,91,2.01,130
1.5,1,8,2,4,4,6,2,32,100,2.28,228
0.5,0,12,3,4,6,4,1,15,97,4.37,274
6.1,896,2,1,1,1,2,30,3,80,0.24,141
4.2,82,2,2,0,1,1,1,169,91,7.11,14
4.9,1,2,1,1,1,1,1,156,97,5.37,34
5,1,6,1,2,3,4,1,3,100,0.26,150
6,2,4,1,2,2,2,2,138,96,2.34,72
4.3,1,6,1,2,2,4,1,97,99,5.07,280
9.8,1,2,1,1,1,1,1,1,100,0.15,52
2.5,5,3,1,1,1,1,2,67,94,2.73,65
7.5,1,2,1,1,1,2,2,64,99,1.8,49
1.6,5,4,1,1,2,2,1,3,87,0.28,643
6.5,5,12,2,3,5,6,2,68,98,5.2,129
2.1,9,6,1.5,1,1,4,1,179,98,7.45,96
4.6,4,4,1,1,2,4,2,204,99,4.7,151
6.7,5,1,11,1,4,1,1,21,90,0.8,23
5.8,2,1,1,1,0,1,1,17,94,0.28,41
9.9,2,6,2,2,2,1,1,23,100,1.26,148
7,1,10,2.5,3,5,10,3,14,100,1.6,253
2.6,22,10,2,3,5,6,3,66,94,2.73,256
7.8,4,3,1.5,1,2,1,1,272,81,3.41,45
5.6,2,2,1,1,2,1,32,2,90,0.3,91
3.8,1,4,1,1,2,2,2,36,98,0.82,122
3.8,1,5,1,3,3,5,2,37,90,3.56,99
1.3,569,2,1,1,1,1,1,2,100,2,43
5.5,3,8,3,3,3,6,1,45,99,3.23,280
7.7,4,2,1,1,1,1,2,11,94,0.24,52
0.5,0,2,1,1,1,1,1,2,100,0.43,78
4.3,5,6,1,2,2,3,1,175,97,4.72,84
5.2,1,2,1,1,1,1,2,29,99,1.51,100
4.6,8,16,4,4,7,1,1,52,96,2.72,500
7.3,10,2,1,1,1,1,60,1,100,0.02,124
3.5,8,2,2,1,1,1,14,22,95,1.45,42
6.3,5,6,1.5,1,2,3,2,17,94,0.57,297
10,10,2,1,1,1,1,3,1,100,0.04,55
4,1,4,1,1,2,2,1,64,98,3.47,148
6.1,896,4,1,2,2,4,2,19,87,1.12,167
5.4,1,7,3,4,5,7,2,69,98,2.62,134
1.9,6,4,1,2,2,2,2,14,76,1,125
6.8,2,5,2.5,3,2,5,3,13,93,0.69,111
7.7,2,1,1,1,1,1,2,55,99,0.84,61
3.6,596,4,1,1,2,1,2,2,100,1.76,396
7.9,1,2,1.5,1,1,2,2,15,100,0.86,84
2.8,4,6,1,2,2,1,30,33,97,1.13,57
6.6,3,16,5,6,6,12,2,8,100,2.29,202
2.7,4,4,1,2,2,4,2,60,96,4.05,94
5.8,7,2,1,1,1,2,2,1,100,0.21,118
7.8,15,8,2,4,5,1,4,73,93,1.72,198
6.5,56,7,1,3,5,6,1,78,97,1.94,125
6,1,3,1,1,1,1,2,5,100,1.53,103
5.4,7,12,2.5,4,4,7,2,101,91,2.1,246
4.2,1,6,1,1,1,2,3,153,99,3.5,58
4.9,2,8,1,3,3,3,4,35,95,1.09,98
3.5,1,4,1.5,1,2,4,3,20,100,0.92,139
0.6,33,2,3.5,1,2,1,1,1,100,0.31,16
0.6,33,2,3.5,1,2,1,1,1,100,0.25,17
6.6,5,2,1,1,1,1,1,74,92,3.6,28
5.9,6,2,1,1,1,1,1,237,96,6.56,72
2.2,44,2,1,0,1,1,1,98,95,5.3,95
1,24,8,1,3,3,6,2,6,97,1.18,706
5.2,2,2,1.5,1,1,1,2,12,100,0.61,48
4.6,3,6,1,2,4,4,2,11,100,0.54,149
9.1,2,2,1,1,1,2,2,110,99,1.21,54
7.8,1,6,1.5,3,3,4,3,14,95,0.15,225
9.3,1,6,1,2,4,4,2,19,86,1.84,108
8.9,2,4,1,2,2,4,2,100,97,3.48,101
7.4,1,2,2,1,1,1,2,1,100,0.05,152
0.5,1,10,4.5,4,5,1,3,8,95,1.94,299
2,6,9,1.5,1,6,3,1,21,97,1.37,198
1.4,1,6,1,2,4,2,2,66,100,4.64,88
3.3,2,2,1.5,1,1,1,1,9,93,1.21,45
5.9,3,4,1,2,2,2,2,25,96,3.25,89
4.6,7,2,1.5,1,1,1,1,4,95,2.31,26
